Entry,Entry Name,Gene Names,Protein names,Organism,Subcellular location [CC],Gene Ontology (cellular component),Gene Ontology IDs,Ensembl
O14561,ACPM_HUMAN,NDUFAB1,"Acyl carrier protein, mitochondrial (ACP) (CI-SDAP) (NADH-ubiquinone oxidoreductase 9.6 kDa subunit)",Homo sapiens (Human),"SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:12611891, ECO:0000269|PubMed:28892042}.",iron-sulfur cluster assembly complex [GO:1990229]; mitochondrial [2Fe-2S] assembly complex [GO:0099128]; mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; respiratory chain complex I [GO:0045271],GO:0000035; GO:0000036; GO:0005198; GO:0005504; GO:0005509; GO:0005654; GO:0005739; GO:0005743; GO:0005759; GO:0006120; GO:0006633; GO:0009060; GO:0009249; GO:0016226; GO:0031966; GO:0042776; GO:0044571; GO:0045271; GO:0099128; GO:0140978; GO:1990229,ENST00000007516.8;ENST00000570319.5;
Q9Y216,MTMR7_HUMAN,MTMR7,"Phosphatidylinositol-3-phosphate phosphatase MTMR7 (EC 3.1.3.64) (Inositol 1,3-bisphosphate phosphatase) (Myotubularin-related protein 7)",Homo sapiens (Human),SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:16787938}. Endomembrane system {ECO:0000250|UniProtKB:Q9Z2C9}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q9Z2C9}; Cytoplasmic side {ECO:0000250|UniProtKB:Q9Z2C9}. Note=May partially localize to endosomes and/or the Golgi apparatus. {ECO:0000250|UniProtKB:Q9Z2C9}.,cytoplasm [GO:0005737]; cytosol [GO:0005829]; endomembrane system [GO:0012505]; membrane [GO:0016020],GO:0004438; GO:0004725; GO:0005737; GO:0005829; GO:0006470; GO:0006661; GO:0012505; GO:0016020; GO:0016312; GO:0046856; GO:0052629; GO:0106018,ENST00000180173.10 [Q9Y216-1];ENST00000521857.5 [Q9Y216-2];
P28907,CD38_HUMAN,CD38,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1 (EC 3.2.2.-) (EC 3.2.2.6) (2'-phospho-ADP-ribosyl cyclase) (2'-phospho-ADP-ribosyl cyclase/2'-phospho-cyclic-ADP-ribose transferase) (EC 2.4.99.20) (2'-phospho-cyclic-ADP-ribose transferase) (ADP-ribosyl cyclase 1) (ADPRC 1) (Cyclic ADP-ribose hydrolase 1) (cADPR hydrolase 1) (T10) (CD antigen CD38),Homo sapiens (Human),SUBCELLULAR LOCATION: Cell surface {ECO:0000269|PubMed:2319135}. Membrane {ECO:0000269|PubMed:8253715}; Single-pass type II membrane protein.,basolateral plasma membrane [GO:0016323]; cell surface [GO:0009986]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; nuclear membrane [GO:0031965]; plasma membrane [GO:0005886],GO:0001666; GO:0005886; GO:0007165; GO:0007204; GO:0007565; GO:0009410; GO:0009986; GO:0010977; GO:0014824; GO:0016020; GO:0016323; GO:0016740; GO:0016849; GO:0019674; GO:0030307; GO:0030890; GO:0031965; GO:0032024; GO:0032355; GO:0032526; GO:0032570; GO:0033194; GO:0042100; GO:0042802; GO:0043066; GO:0045779; GO:0045892; GO:0045893; GO:0045907; GO:0050853; GO:0060292; GO:0061809; GO:0070062; GO:0070555; GO:0097190,ENST00000226279.8 [P28907-1];ENST00000502843.5 [P28907-2];
Q16850,CP51A_HUMAN,CYP51A1 CYP51,Lanosterol 14-alpha demethylase (LDM) (EC 1.14.14.154) (CYPLI) (Cytochrome P450 51A1) (CYP51A1) (Cytochrome P450-14DM) (Cytochrome P45014DM) (Cytochrome P450LI) (Sterol 14-alpha demethylase),Homo sapiens (Human),SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q64654}; Single-pass membrane protein {ECO:0000255}. Microsome membrane {ECO:0000250|UniProtKB:Q64654}; Single-pass membrane protein {ECO:0000255}.,endoplasmic reticulum membrane [GO:0005789]; membrane [GO:0016020],GO:0005506; GO:0005789; GO:0006694; GO:0006695; GO:0008398; GO:0016020; GO:0016125; GO:0016491; GO:0016712; GO:0020037; GO:0033488; GO:0042177; GO:0050709; GO:1900222,ENST00000003100.13 [Q16850-1];ENST00000450723.5 [Q16850-2];
Q96HP8,T176A_HUMAN,TMEM176A HCA112,Transmembrane protein 176A (Hepatocellular carcinoma-associated antigen 112),Homo sapiens (Human),SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.,membrane [GO:0016020],GO:0016020; GO:2001199,ENST00000004103.8;ENST00000484928.5;
Q9NR63,CP26B_HUMAN,CYP26B1 CYP26A2 P450RAI2,Cytochrome P450 26B1 (EC 1.14.13.-) (Cytochrome P450 26A2) (Cytochrome P450 retinoic acid-inactivating 2) (Cytochrome P450RAI-2) (Retinoic acid-metabolizing cytochrome),Homo sapiens (Human),SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:O43174}; Peripheral membrane protein {ECO:0000250|UniProtKB:O43174}. Microsome membrane {ECO:0000250|UniProtKB:O43174}; Peripheral membrane protein {ECO:0000250|UniProtKB:O43174}.,cytoplasm [GO:0005737]; endoplasmic reticulum membrane [GO:0005789],GO:0001709; GO:0001768; GO:0001822; GO:0001972; GO:0004497; GO:0005506; GO:0005737; GO:0005789; GO:0006766; GO:0006805; GO:0006954; GO:0007140; GO:0007283; GO:0007417; GO:0008401; GO:0009954; GO:0010628; GO:0016709; GO:0020037; GO:0030326; GO:0033189; GO:0034653; GO:0042573; GO:0043587; GO:0045580; GO:0048384; GO:0048387; GO:0060349; GO:0061436; GO:0062183; GO:0070268; GO:0071300; GO:2001037,ENST00000001146.7 [Q9NR63-1];ENST00000546307.5 [Q9NR63-2];
Q9P2N7,KLH13_HUMAN,KLHL13 BKLHD2 KIAA1309,Kelch-like protein 13 (BTB and kelch domain-containing protein 2),Homo sapiens (Human),,Cul3-RING ubiquitin ligase complex [GO:0031463]; cytosol [GO:0005829],GO:0005829; GO:0016567; GO:0031463; GO:0032465; GO:0051301; GO:0097602,ENST00000262820.7 [Q9P2N7-1];ENST00000371878.5 [Q9P2N7-4];ENST00000371882.5 [Q9P2N7-2];ENST00000469946.5 [Q9P2N7-5];ENST00000540167.6 [Q9P2N7-3];ENST00000541812.5 [Q9P2N7-3];
Q8IZE3,PACE1_HUMAN,SCYL3 PACE1,Protein-associating with the carboxyl-terminal domain of ezrin (Ezrin-binding protein PACE-1) (SCY1-like protein 3),Homo sapiens (Human),"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:12651155}. Golgi apparatus {ECO:0000269|PubMed:12651155}. Cell projection, lamellipodium {ECO:0000269|PubMed:12651155}. Note=Colocalized with EZR/VIL2, actin and CD44 in lamellipodia.",cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; lamellipodium [GO:0030027],GO:0000139; GO:0005524; GO:0005737; GO:0005783; GO:0005794; GO:0005829; GO:0006954; GO:0008104; GO:0016477; GO:0021522; GO:0030027; GO:0042802; GO:0048666,ENST00000367770.5 [Q8IZE3-1];ENST00000367771.11 [Q8IZE3-2];ENST00000367772.8 [Q8IZE3-1];
O14792,HS3S1_HUMAN,HS3ST1 3OST 3OST1,Heparan sulfate glucosamine 3-O-sulfotransferase 1 (EC 2.8.2.23) (Heparan sulfate D-glucosaminyl 3-O-sulfotransferase 1) (3-OST-1) (Heparan sulfate 3-O-sulfotransferase 1) (h3-OST-1),Homo sapiens (Human),SUBCELLULAR LOCATION: Golgi apparatus lumen {ECO:0000305}.,Golgi lumen [GO:0005796],GO:0005796; GO:0006024; GO:0008146; GO:0008467; GO:0015012,ENST00000002596.6;
P23511,NFYA_HUMAN,NFYA,Nuclear transcription factor Y subunit alpha (CAAT box DNA-binding protein subunit A) (Nuclear transcription factor Y subunit A) (NF-YA),Homo sapiens (Human),SUBCELLULAR LOCATION: Nucleus.,CCAAT-binding factor complex [GO:0016602]; chromatin [GO:0000785]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-DNA complex [GO:0032993]; RNA polymerase II transcription regulator complex [GO:0090575],GO:0000785; GO:0000978; GO:0000981; GO:0003677; GO:0003700; GO:0005634; GO:0005654; GO:0006355; GO:0006357; GO:0006366; GO:0016602; GO:0032993; GO:0045893; GO:0045944; GO:0048511; GO:0090575,ENST00000341376.11 [P23511-1];ENST00000353205.5 [P23511-2];
O75800,ZMY10_HUMAN,ZMYND10 BLU LUCA12.4,Zinc finger MYND domain-containing protein 10 (Protein BLu),Homo sapiens (Human),"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q6AXZ5}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriolar satellite {ECO:0000250|UniProtKB:Q6AXZ5}. Apical cell membrane {ECO:0000250|UniProtKB:Q99ML0}. Dynein axonemal particle {ECO:0000250|UniProtKB:Q5FWU8}.",apical plasma membrane [GO:0016324]; centriolar satellite [GO:0034451]; cytoplasm [GO:0005737]; dynein axonemal particle [GO:0120293],GO:0003341; GO:0005737; GO:0008270; GO:0016324; GO:0034451; GO:0036158; GO:0036159; GO:0044183; GO:0044458; GO:0060090; GO:0061512; GO:0120293; GO:1905505,ENST00000231749.8 [O75800-1];ENST00000360165.7 [O75800-2];
P28838,AMPL_HUMAN,LAP3 LAPEP PEPS,Cytosol aminopeptidase (EC 3.4.11.1) (Cysteinylglycine-S-conjugate dipeptidase) (EC 3.4.13.23) (Leucine aminopeptidase 3) (LAP-3) (Leucyl aminopeptidase) (Peptidase S) (Proline aminopeptidase) (EC 3.4.11.5) (Prolyl aminopeptidase),Homo sapiens (Human),SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q68FS4}.,cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; trans-Golgi network [GO:0005802],GO:0004177; GO:0004180; GO:0005634; GO:0005737; GO:0005739; GO:0005802; GO:0005925; GO:0006508; GO:0008233; GO:0008235; GO:0030145; GO:0070006; GO:0070062,ENST00000226299.9 [P28838-1];ENST00000606142.5 [P28838-2];ENST00000618908.4 [P28838-1];
P84085,ARF5_HUMAN,ARF5,ADP-ribosylation factor 5,Homo sapiens (Human),"SUBCELLULAR LOCATION: Golgi apparatus {ECO:0000269|PubMed:17555535}. Cytoplasm, perinuclear region {ECO:0000269|PubMed:17555535}. Membrane {ECO:0000305}; Lipid-anchor {ECO:0000305}. Golgi apparatus, trans-Golgi network membrane {ECO:0000250|UniProtKB:P84084}; Lipid-anchor {ECO:0000250|UniProtKB:P84084}.",cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; Golgi apparatus [GO:0005794]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886],GO:0003924; GO:0005525; GO:0005737; GO:0005794; GO:0005886; GO:0006886; GO:0006890; GO:0016192; GO:0048471; GO:0070062,ENST00000000233.10;
Q14847,LASP1_HUMAN,LASP1 MLN50,LIM and SH3 domain protein 1 (LASP-1) (Metastatic lymph node gene 50 protein) (MLN 50),Homo sapiens (Human),"SUBCELLULAR LOCATION: Cytoplasm, cell cortex {ECO:0000250}. Cytoplasm, cytoskeleton {ECO:0000250}. Note=Associated with the F-actin rich cortical cytoskeleton. {ECO:0000250}.",cortical actin cytoskeleton [GO:0030864]; cytoplasm [GO:0005737]; focal adhesion [GO:0005925]; postsynapse [GO:0098794],GO:0005737; GO:0005925; GO:0006811; GO:0015075; GO:0030864; GO:0045296; GO:0046872; GO:0051015; GO:0098794,ENST00000318008.11 [Q14847-1];ENST00000433206.6 [Q14847-3];
Q76N89,HECW1_HUMAN,HECW1 KIAA0322 NEDL1,"E3 ubiquitin-protein ligase HECW1 (EC 2.3.2.26) (HECT, C2 and WW domain-containing protein 1) (HECT-type E3 ubiquitin transferase HECW1) (NEDD4-like E3 ubiquitin-protein ligase 1) (hNEDL1)",Homo sapiens (Human),SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14684739}.,cytoplasm [GO:0005737]; cytosol [GO:0005829],GO:0005737; GO:0005829; GO:0006511; GO:0016567; GO:0048814; GO:0061630; GO:0090090,ENST00000395891.7 [Q76N89-1];ENST00000453890.5 [Q76N89-2];
Q8N5S9,KKCC1_HUMAN,CAMKK1 CAMKKA,Calcium/calmodulin-dependent protein kinase kinase 1 (CaM-KK 1) (CaM-kinase kinase 1) (CaMKK 1) (EC 2.7.11.17) (CaM-kinase IV kinase) (Calcium/calmodulin-dependent protein kinase kinase alpha) (CaM-KK alpha) (CaM-kinase kinase alpha) (CaMKK alpha),Homo sapiens (Human),SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Nucleus {ECO:0000250}.,cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleoplasm [GO:0005654],GO:0004683; GO:0005516; GO:0005524; GO:0005654; GO:0005737; GO:0005829; GO:0035556; GO:0106310,ENST00000158166.5 [Q8N5S9-2];ENST00000348335.7 [Q8N5S9-1];
Q9Y2S7,PDIP2_HUMAN,POLDIP2 PDIP38 POLD4 HSPC017,Polymerase delta-interacting protein 2 (38 kDa DNA polymerase delta interaction protein) (p38),Homo sapiens (Human),SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000269|PubMed:16428295}. Nucleus {ECO:0000269|PubMed:16428295}. Note=Mainly localizes to the mitochondrial matrix; a small fraction localizes in the nucleus. {ECO:0000269|PubMed:16428295}.,cell-cell junction [GO:0005911]; midbody [GO:0030496]; mitochondrial matrix [GO:0005759]; mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739]; mitotic spindle [GO:0072686]; nucleus [GO:0005634],GO:0003677; GO:0005634; GO:0005739; GO:0005759; GO:0005911; GO:0007005; GO:0016242; GO:0030496; GO:0042645; GO:0045931; GO:0051894; GO:0070987; GO:0072686; GO:0090307; GO:1903490; GO:1990874,ENST00000540200.6;
P09769,FGR_HUMAN,FGR SRC2,Tyrosine-protein kinase Fgr (EC 2.7.10.2) (Gardner-Rasheed feline sarcoma viral (v-fgr) oncogene homolog) (Proto-oncogene c-Fgr) (p55-Fgr) (p58-Fgr) (p58c-Fgr),Homo sapiens (Human),"SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Lipid-anchor {ECO:0000305}; Cytoplasmic side {ECO:0000305}. Cell membrane; Peripheral membrane protein; Cytoplasmic side. Cell projection, ruffle membrane. Cytoplasm, cytosol. Cytoplasm, cytoskeleton. Mitochondrion inner membrane {ECO:0000250}. Mitochondrion intermembrane space {ECO:0000250}. Note=Detected in mitochondrial intermembrane space and at inner membranes (By similarity). Colocalizes with actin fibers at membrane ruffles. Detected at plasma membrane lipid rafts. {ECO:0000250}.",actin cytoskeleton [GO:0015629]; aggresome [GO:0016235]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; plasma membrane [GO:0005886]; ruffle membrane [GO:0032587]; secretory granule lumen [GO:0034774],GO:0001784; GO:0001819; GO:0002768; GO:0002862; GO:0004713; GO:0004715; GO:0005102; GO:0005524; GO:0005576; GO:0005743; GO:0005758; GO:0005829; GO:0005886; GO:0006468; GO:0007169; GO:0007229; GO:0008360; GO:0009615; GO:0015629; GO:0016235; GO:0018108; GO:0019901; GO:0030154; GO:0030282; GO:0030335; GO:0032587; GO:0032815; GO:0034774; GO:0034987; GO:0034988; GO:0038096; GO:0043306; GO:0045087; GO:0045088; GO:0045859; GO:0046777; GO:0048705; GO:0050764; GO:0050830; GO:0051897; GO:0070062,ENST00000374003.7;ENST00000374004.5;ENST00000374005.8;ENST00000399173.5;
Q86VW1,S22AG_HUMAN,SLC22A16 OCT6,Solute carrier family 22 member 16 (Carnitine transporter 2) (CT2) (Fly-like putative transporter 2) (FLIPT2) (Flipt 2) (Organic cation transporter OKB1) (Organic cation/carnitine transporter 6),Homo sapiens (Human),"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12089149, ECO:0000269|PubMed:20037140}; Multi-pass membrane protein {ECO:0000305}. Note=Detected in the plasma membrane of Sertoli cells and in the luminal membrane of epithelial cells in the epididymis. {ECO:0000269|PubMed:12089149}.",cytosol [GO:0005829]; membrane [GO:0016020]; plasma membrane [GO:0005886],GO:0005275; GO:0005829; GO:0005886; GO:0006811; GO:0007283; GO:0007338; GO:0015101; GO:0015226; GO:0015606; GO:0015695; GO:0015879; GO:0016020; GO:0030154; GO:0030317; GO:0046717; GO:1902603; GO:1903711,ENST00000330550.8 [Q86VW1-2];ENST00000368919.8 [Q86VW1-1];
Q9UJS0,S2513_HUMAN,SLC25A13,"Electrogenic aspartate/glutamate antiporter SLC25A13, mitochondrial (Calcium-binding mitochondrial carrier protein Aralar2) (ARALAR-related gene 2) (ARALAR2) (Citrin) (Mitochondrial aspartate glutamate carrier 2) (Solute carrier family 25 member 13)",Homo sapiens (Human),"SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:10642534, ECO:0000269|PubMed:11566871}; Multi-pass membrane protein {ECO:0000269|PubMed:11566871}.",mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886],GO:0000514; GO:0000515; GO:0005313; GO:0005509; GO:0005739; GO:0005743; GO:0005886; GO:0006094; GO:0006754; GO:0006839; GO:0015183; GO:0015810; GO:0015813; GO:0042802; GO:0043490; GO:0045333; GO:0051592,ENST00000265631.10 [Q9UJS0-1];ENST00000416240.6 [Q9UJS0-2];
Q9Y4W2,LAS1L_HUMAN,LAS1L MSTP060,Ribosomal biogenesis protein LAS1L (Endoribonuclease LAS1L) (EC 3.1.-.-) (Protein LAS1 homolog),Homo sapiens (Human),"SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:12429849, ECO:0000269|PubMed:20647540}. Nucleus, nucleoplasm {ECO:0000250|UniProtKB:A2BE28}. Cytoplasm {ECO:0000250|UniProtKB:A2BE28}. Note=Mainly found in the nucleoplasm, with low levels detected in the cytoplasmic and chromatin fractions (By similarity). Localizes mainly to the granular component, the region implicated in the later steps of rRNA processing and subunit assembly and export. {ECO:0000250|UniProtKB:A2BE28}.",Las1 complex [GO:0090730]; membrane [GO:0016020]; MLL1 complex [GO:0071339]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634],GO:0000460; GO:0000470; GO:0003723; GO:0004519; GO:0005634; GO:0005654; GO:0005730; GO:0006364; GO:0016020; GO:0071339; GO:0090730,ENST00000374804.9 [Q9Y4W2-3];ENST00000374807.9 [Q9Y4W2-2];ENST00000374811.8 [Q9Y4W2-1];ENST00000484069.1 [Q9Y4W2-4];
Q9Y6D9,MD1L1_HUMAN,MAD1L1 MAD1 TXBP181,Mitotic spindle assembly checkpoint protein MAD1 (Mitotic arrest deficient 1-like protein 1) (MAD1-like protein 1) (Mitotic checkpoint MAD1 protein homolog) (HsMAD1) (hMAD1) (Tax-binding protein 181),Homo sapiens (Human),"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:19010891, ECO:0000269|PubMed:9546394}. Chromosome, centromere, kinetochore {ECO:0000269|PubMed:14978040, ECO:0000269|PubMed:18981471, ECO:0000269|PubMed:22351768, ECO:0000269|PubMed:29162720}. Nucleus envelope {ECO:0000269|PubMed:18981471, ECO:0000269|PubMed:22351768}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:14978040, ECO:0000269|PubMed:9546394}. Cytoplasm, cytoskeleton, spindle {ECO:0000269|PubMed:9546394}. Cytoplasm, cytoskeleton, spindle pole {ECO:0000269|PubMed:22351768}. Note=Co-localizes with TPR at the nucleus envelope during interphase and throughout the cell cycle (PubMed:18981471, PubMed:22351768). From the beginning to the end of mitosis, it is seen to move from a diffusely nuclear distribution to the centrosome, to the spindle midzone and finally to the midbody (PubMed:9546394). Localizes to kinetochores during prometaphase (PubMed:22351768, PubMed:29162720). Does not localize to kinetochores during metaphase (PubMed:29162720). Colocalizes with NEK2 at the kinetochore (PubMed:14978040). Colocalizes with IK at spindle poles during metaphase and anaphase (PubMed:22351768). {ECO:0000269|PubMed:14978040, ECO:0000269|PubMed:18981471, ECO:0000269|PubMed:22351768, ECO:0000269|PubMed:29162720, ECO:0000269|PubMed:9546394}.; SUBCELLULAR LOCATION: [Isoform 3]: Cytoplasm {ECO:0000269|PubMed:19010891}.",centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; kinetochore [GO:0000776]; MAD1 complex [GO:1990706]; mitotic spindle [GO:0072686]; mitotic spindle assembly checkpoint MAD1-MAD2 complex [GO:1990728]; nuclear envelope [GO:0005635]; nuclear pore nuclear basket [GO:0044615]; nucleus [GO:0005634]; spindle [GO:0005819]; spindle pole [GO:0000922],GO:0000776; GO:0000922; GO:0005634; GO:0005635; GO:0005737; GO:0005813; GO:0005819; GO:0005829; GO:0007094; GO:0042130; GO:0042802; GO:0043515; GO:0044615; GO:0048538; GO:0051301; GO:0051315; GO:0072686; GO:0090235; GO:0090267; GO:1902426; GO:1990706; GO:1990728,ENST00000265854.12 [Q9Y6D9-1];ENST00000399654.6 [Q9Y6D9-1];ENST00000402746.5 [Q9Y6D9-3];ENST00000406869.5 [Q9Y6D9-1];
P46063,RECQ1_HUMAN,RECQL RECQ1 RECQL1,"ATP-dependent DNA helicase Q1 (EC 5.6.2.4) (DNA 3'-5' helicase Q1) (DNA helicase, RecQ-like type 1) (RecQ1) (DNA-dependent ATPase Q1) (RecQ protein-like 1)",Homo sapiens (Human),"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:35025765, ECO:0000269|PubMed:7961977}.",chromosome [GO:0005694]; cytoplasm [GO:0005737]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634],GO:0000724; GO:0003678; GO:0005524; GO:0005634; GO:0005654; GO:0005694; GO:0005737; GO:0006260; GO:0006281; GO:0009378; GO:0016020; GO:0016887; GO:0031297; GO:0036121; GO:0043138; GO:0046872; GO:1990814,ENST00000421138.6;ENST00000444129.7;
Q6SZW1,SARM1_HUMAN,SARM1 KIAA0524 SAMD2 SARM,NAD(+) hydrolase SARM1 (NADase SARM1) (hSARM1) (EC 3.2.2.6) (NADP(+) hydrolase SARM1) (EC 3.2.2.-) (Sterile alpha and Armadillo repeat protein) (Sterile alpha and TIR motif-containing protein 1) (Sterile alpha motif domain-containing protein 2) (MyD88-5) (SAM domain-containing protein 2) (Tir-1 homolog) (HsTIR),Homo sapiens (Human),"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:20306472}. Cell projection, axon {ECO:0000250|UniProtKB:Q6PDS3}. Cell projection, dendrite {ECO:0000250|UniProtKB:Q6PDS3}. Synapse {ECO:0000250|UniProtKB:Q6PDS3}. Mitochondrion {ECO:0000269|PubMed:20306472, ECO:0000269|PubMed:22145856}. Note=Associated with microtubules. {ECO:0000250|UniProtKB:Q6PDS3}.",axon [GO:0030424]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendrite [GO:0030425]; extrinsic component of synaptic membrane [GO:0099243]; glutamatergic synapse [GO:0098978]; microtubule [GO:0005874]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; neuromuscular junction [GO:0031594]; protein-containing complex [GO:0032991]; synapse [GO:0045202],GO:0003953; GO:0005737; GO:0005739; GO:0005741; GO:0005829; GO:0005874; GO:0007165; GO:0007399; GO:0009749; GO:0009986; GO:0019677; GO:0030154; GO:0030424; GO:0030425; GO:0031594; GO:0032991; GO:0034128; GO:0035591; GO:0042802; GO:0043523; GO:0045087; GO:0045202; GO:0048678; GO:0048814; GO:0050135; GO:0050877; GO:0061809; GO:0070585; GO:0098978; GO:0099010; GO:0099243; GO:1905806,ENST00000585482.6 [Q6SZW1-1];
P14209,CD99_HUMAN,CD99 MIC2 MIC2X MIC2Y,CD99 antigen (12E7) (E2 antigen) (Protein MIC2) (T-cell surface glycoprotein E2) (CD antigen CD99),Homo sapiens (Human),SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.,cytoplasm [GO:0005737]; focal adhesion [GO:0005925]; plasma membrane [GO:0005886],GO:0005737; GO:0005886; GO:0005925; GO:0034109; GO:0072683; GO:2000391,ENST00000381187.8 [P14209-3];ENST00000381192.10 [P14209-1];ENST00000482405.7 [P14209-2];ENST00000611428.5 [P14209-2];ENST00000623253.4 [P14209-2];ENST00000711155.1 [P14209-2];ENST00000711159.1 [P14209-2];ENST00000711160.1 [P14209-1];ENST00000711164.1 [P14209-3];ENST00000711165.1 [P14209-2];
